day_range,info,market_segment,name,previous_close,stock_Value,time,volume
CHF 1.87 - CHF 1.97,"Relief Therapeutics is a Swiss biopharmaceutical company based in Geneva. The company focuses on developing drugs for serious diseases with few or no existing treatment options. Its lead compound, RLF-100, is a synthetic form of a natural peptide that protects the lung. The company was incorporated as Relief Therapeutics Holdings AG and listed on the SIX Swiss Exchange in 2016.",12.87K,RELIEF THERAPEUTICS Holding SA,CHF 1.87,CHF 1.87,"Nov 24, 3:09:30 PM GMT+1 · CHF · SWX ·",CHF 1.50 - CHF 15.00
₺116.90 - ₺120.10,"TAV Airports Holding is a Turkish airport operation and services firm that is part of Groupe ADP. It is one of the world's largest airport operators, providing services to 1 million flights and 152 million passengers in 2018. TAV was established as a joint venture between Tepe Construction, Akfen, and Airport Consulting Vienna in 1997. Today, it is the leading airport operator in Turkey and also provides duty free, food and beverage, ground handling, IT and security services.",4.14M,TAV Havalimanlari Holding AS,₺119.60,₺118.80,"Nov 24, 5:34:02 PM GMT+3 · TRY · IST ·",₺63.70 - ₺139.20
$0.00 - $0.00,"Helios and Matheson Analytics was a publicly traded data analytics company based in New York City, New York. The company became widely known during its final years for acquiring and subsequently operating MoviePass, which ultimately led to the company's bankruptcy.",-,Helios and Matheson Analytics Inc,$0.00,$0.00,"Nov 22, 8:10:00 PM GMT-5 · USD · OTCMKTS ·",3.00K USD
"¥2,103.50 - ¥2,124.00","INPEX Corporation is a Japanese oil company established in February 1966 as North Sumatra Offshore Petroleum Exploration Co., Ltd. INPEX is the largest oil and gas exploration and production company in Japan, with global exploration, development and production projects in 20 countries. In the 2020 Forbes Global 2000, INPEX was ranked as the 597th -largest public company in the world.",6.14,Inpex Corp,"¥2,108.00","¥2,111.50","Nov 24, 5:45:11 PM GMT+9 · JPY · TYO ·","¥1,301.00 - ¥2,368.50"
$7.62 - $7.68,"Vera Bradley Sales, LLC is an American luggage and handbag design company, founded by Barbara Bradley Baekgaard and Patricia R. Miller in 1982. As of 2019, its home office is in Fort Wayne, Indiana. The company was named after Baekgaard's mother. Its original luxury cotton bag product lines have expanded to include fashion and home accessories, office supplies, and patterned gifts. Many items have distinctive florals, paisleys, or geometric prints with complementary linings, as well as elongated diamond quilting. The patterns were originally inspired by French Provençal country fabrics and have limited seasonal releases each year. In September 2022, the company named Jacqueline Ardrey as their new CEO.",213.34K,"Vera Bradley, Inc.",$7.64,$7.62,"Nov 24, 9:48:31 AM GMT-5 · USD · NASDAQ ·",$3.51 - $8.35
Rp 498.00 - Rp 500.00,"PT Industri Jamu dan Farmasi Sido Muncul Tbk, commonly known as Sido Muncul, is an Indonesian herbal medicine and food products company based in Semarang, Indonesia, established in 1940. It produces and markets a variety of consumer products related to herbal medication, such as the jamu Tolak Angin.",24.83M,Industri Jamu dn Frms Sd Mncl Tbk PT,Rp 498.00,Rp 498.00,"Nov 24, 4:40:00 PM GMT+7 · IDR · IDX ·",Rp 478.00 - Rp 915.00
$0.80 - $0.83,"China Tower Corporation Limited, China Tower in short form, is a state-owned telecommunication company in providing telecommunication tower construction, tower maintenance, ancillary facilities management, and other services through Mainland China. China Tower was established in July 2014 by merging the telecom tower businesses among China's three telecom giants - China Mobile, China Unicom and China Telecom, which are customers and shareholders of China Tower. It was listed on Hong Kong Stock Exchange on 8 August 2018 at a price of HK$1.26 per share which raised US$6.9 billion.",126.27M,China Tower Corp Ltd,$0.82,$0.81,"Nov 24, 4:08:38 PM GMT+8 · HKD · HKG ·",$0.71 - $1.02
₹64.05 - ₹65.55,"NBCC (India) Limited, formerly known as National Buildings Construction Corporation is a central public sector enterprise under the Indian Ministry of Housing and Urban Affairs. The central public sector undertakings' present areas of operations are categorised into three main segments, i.e. Project Management Consultancy, including redevelopment of government properties, Engineering, Procurement & Construction and Real Estate Development. NBCC acquired 100 per cent stake in Mini Ratna hospital consultancy firm Hospital Services Consultancy Corporation Limited from Ministry of Health and Family Welfare on 6 November 2018. The organization acquired over 51% stake in Hindustan Steelworks Construction Limited, a PSU under the Steel Ministry in 2017. NBCC is headquartered in the city of New Delhi, India and it has 31 regional offices across India. The projects undertaken by the company are located across India and in countries such as Iraq, Libya, Nepal, Mauritius, Turkey, Botswana, Maldives, Yemen, Oman, UAE, Dubai and Africa.",34.91,NBCC (India) Ltd,₹65.10,₹64.25,"Nov 24, 3:59:59 PM GMT+5:30 · INR · NSE ·",₹30.95 - ₹74.35
$24.34 - $24.46,"ArcelorMittal S.A. is a Luxembourg-based multinational steel manufacturing corporation headquartered in Luxembourg City. It was formed in 2006 from the takeover and merger of Arcelor by Indian-owned Mittal Steel. ArcelorMittal is the second largest steel producer in the world, with an annual crude steel production of 88 million metric tonnes as of 2022. It is ranked 197th in the 2022 Fortune Global 500 ranking of the world's largest corporations. It directly and indirectly employs around 200,000 people and its market capital is $25 billion. The total value of company assets is estimated to be around $100 billion.",2.46M,ArcelorMittal SA,$24.23,$24.46,"Nov 24, 9:47:35 AM GMT-5 · USD · NYSE ·",$21.30 - $32.49
kr 170.90 - kr 173.96,"Vestas Wind Systems A/S is a Danish manufacturer, seller, installer, and servicer of wind turbines that was founded in 1945. The company operates manufacturing plants in Denmark, Germany, the Netherlands, Taiwan, India, Italy, Romania, the United Kingdom, Spain, Sweden, Norway, Australia, China, Brazil, Poland and the United States, and employs 29,000 people globally. As of 2013, it is the largest wind turbine company in the world.",2.39M,Vestas Wind Systems A/S,kr 173.32,kr 171.24,"Nov 24, 3:48:02 PM GMT+1 · DKK · CPH ·",kr 133.08 - kr 217.45
"¥5,000.00 - ¥5,105.00","Chugai Pharmaceutical Co., Ltd. is a drug manufacturer operating in Japan. It is a subsidiary controlled by Hoffmann-La Roche, which owns 62% of the company as of 30 June 2014. The company is headquartered in Tokyo. Osamu Nagayama is the current representative director and chairman. Tatsuro Kosaka is the current representative director, president and CEO.",24.80,Chugai Pharmaceutical Co Ltd,"¥4,940.00","¥5,073.00","Nov 24, 5:45:13 PM GMT+9 · JPY · TYO ·","¥3,191.00 - ¥5,105.00"
€3.81 - €3.84,"Telefónica, S.A. is a Spanish multinational telecommunications company headquartered in Madrid, Spain. It is one of the largest telephone operators and mobile network providers in the world. It provides fixed and mobile telephony, broadband, and subscription television, operating in Europe and the Americas. As well as the Telefónica brand, it also trades as Movistar, O2, and Vivo. The company is a component of the Euro Stoxx 50 stock market index.",10.78M,Telefonica SA,€3.84,€3.82,"Nov 24, 3:34:03 PM GMT+1 · EUR · BME ·",€3.22 - €4.15
€5.04 - €5.06,"CureVac N.V. is a German biopharmaceutical company. It develops therapies based on messenger RNA. Headquartered in Tübingen, Germany, the company was founded in 2000 by Ingmar Hoerr, Steve Pascolo, Florian von der Mulbe, Günther Jung, and Hans-Georg Rammensee. CureVac has approximately 375 employees since May 2018. At the beginning of the COVID-19 pandemic, CureVac was an early starter in the race to develop a German vaccine for protection against COVID-19, caused by infection with the SARS-CoV-2 virus. Clinical trials for the CureVac COVID-19 Vaccine began in June 2020, and in the same month, the German Federal Government invested €300 million in CureVac, with one of the terms of the agreement being that KfW will hold a stake of approximately 23% in the company. In June 2021 the company announced that CVnCoV displayed inadequate results in Phase III clinical trials with only 47% efficacy. In October 2021 the company announced it would be abandon further research and development into CVnCoV and would instead focus its efforts in collaborating with GSK to develop improved mRNA vaccine technology.",-,CureVac BV,€5.08,€5.06,"Nov 24, 3:04:24 PM GMT+1 · EUR · FRA ·",€4.67 - €12.98
"¥2,909.00 - ¥3,005.00","IHI Corporation, formerly known as Ishikawajima-Harima Heavy Industries Co., Ltd. is a Japanese engineering corporation headquartered in Tokyo, Japan that produces and offers ships, space launch vehicles, aircraft engines, marine diesel engines, gas turbines, gas engines, railway systems, turbochargers for automobiles, plant engineering, industrial machinery, power station boilers and other facilities, suspension bridges and other structures. IHI is listed on the Tokyo Stock Exchange Section 1.",-,IHI Corp,"¥2,881.50","¥3,000.00","Nov 24, 5:45:15 PM GMT+9 · JPY · TYO ·","¥2,666.00 - ¥4,130.00"
$11.80 - $12.08,"Great Wall Motor Co., Ltd. is a Chinese privately owned automobile manufacturer headquartered in Baoding, Hebei. Founded in 1984, it is currently the eighth largest automobile manufacturer in China, with 1.281 million sales in 2021. The company produces and sells vehicles under its own branding, such as GWM, Haval, WEY, TANK, POER, ORA. It also produces electric vehicles under some of the previously listed brandings, including dedicated EV brands such as ORA. Named after the Great Wall of China, the company is China's largest producer of sport-utility vehicles and pick-up trucks. In 2021, it was the third largest Chinese plug-in electric vehicle manufacturer in the Chinese market, with 4% of market share, selling under brand names such as Ora and Haval.",39.91M,Great Wall Motor Company Ltd Ord Shs H,$11.98,$12.00,"Nov 24, 4:08:38 PM GMT+8 · HKD · HKG ·",$7.77 - $12.66
$144.04 - $145.42,"Check Point is an American-Israeli multinational provider of software and combined hardware and software products for IT security, including network security, endpoint security, cloud security, mobile security, data security and security management. As of 2021, the company has approximately 6,000 employees worldwide. Headquartered in Tel Aviv, Israel and San Carlos, California, the company has development centers in Israel and Belarus and previously held in the United States, Sweden following acquisitions of companies who owned these centers. The company has offices in over 70 locations worldwide including main offices in North America, 10 in the United States, 4 in Canada as well as in Europe and in Asia Pacific.",912.81K,Check Point Software Technologies Ltd.,$143.43,$144.92,"Nov 24, 9:48:45 AM GMT-5 · USD · NASDAQ ·",$117.18 - $145.42
$1.22 - $1.25,"Assertio Therapeutics, Inc. is an American specialty pharmaceutical company. It mainly markets products for treatment in neurology, pain and diseases of the central nervous system. Depomed was founded in 1995 and is headquartered in Newark, California. It is a publicly traded company on NASDAQ, with several products approved by the United States Food and Drug Administration. On August 15, 2018, the company announced its name change from Depomed, Inc., to Assertio Therapeutics, Inc. As of 2019, Assertio markets three products approved by the FDA: Gralise, Cambia, and Zipsor.",1.80M,Assertio Holdings Inc,$1.24,$1.22,"Nov 24, 9:49:03 AM GMT-5 · USD · NASDAQ ·",$0.87 - $8.01
¥17.79 - ¥17.94,"Jiangxi Copper is the largest copper producer in Mainland China. Its operations include copper mining, milling, smelting and refining to produce copper-related products, including pyrite concentrates, sulfuric acid and electrolytic gold and silver. Its chairman is Mr.Zheng Gaoqing and its headquarters is at Nanchang, Jiangxi, China. The company manufactures 340,000 tons of copper annually from its mines, which include the Dexing and Yongping pits and the Wushan, Jiangxi, underground mine. Jiangxi Copper is also engaged in the production, processing and sale of copper cathodes, copper rods and wires and other related products. The company also provides precious metals such as gold and silver; chemical products such as sulfuric acid and sulfur ore concentrate; as well as rare metals and minerals such as molybdenum, selenium, rhenium, tellurium and bismuth. Jiangxi Copper is also involved in the exploration and exploitation of copper, gold, silver, lead and zinc, as well as the provision of financial services. Jiangxi Copper distributes its products in domestic markets, and exports to Hong Kong, Taiwan, Australia and Thailand, among others.",9.27M,Jiangxi Copper Ord Shs A,¥17.91,¥17.85,"Nov 24, 4:00:03 PM GMT+8 · CNY · SHA ·",¥16.55 - ¥21.77
"¥3,346.00 - ¥3,391.00","Yoshinoya is a Japanese multinational fast food chain, and the second-largest chain of gyūdon restaurants. The chain was established in Japan in 1899. Its motto is ""Tasty, low-priced, and quick"".",40.33,YOSHINOYA HOLDINGS CO LTD,"¥3,385.00","¥3,378.00","Nov 24, 5:45:17 PM GMT+9 · JPY · TYO ·","¥2,238.00 - ¥3,585.00"
$4.07 - $4.09,"Banco Santander, S.A., doing business as Santander Group, is a Spanish multinational financial services company based in Madrid and Santander in Spain. Additionally, Santander maintains a presence in all global financial centres as the 19th-largest banking institution in the world. Although known for its European banking operations, it has extended operations across North and South America, and more recently in continental Asia. It is considered a systemically important bank by the Financial Stability Board. Many subsidiaries, such as Abbey National, have been rebranded under the Santander name. The company is a component of the Euro Stoxx 50 stock market index. In June 2023, Santander was ranked as 49th in the Forbes Global 2000 list of the world's biggest public companies. Santander is Spain's largest bank. Banco Santander is chaired by Ana Patricia Botín-Sanz de Sautuola O'Shea, daughter and granddaughter of former chairmen Emilio Botin-Sanz de Sautuola y García de los Ríos and Emilio Botín-Sanz de Sautuola López, respectively.",2.96M,Banco Santander SA,$4.03,$4.07,"Nov 24, 9:40:09 AM GMT-5 · USD · NYSE ·",$2.82 - $4.09
¥41.80 - ¥42.33,"Ganfeng Lithium Co., Ltd. is a company that produces lithium, lithium products, other metals, and batteries in mainland China and globally. It was founded by Li Liangbin in 2000 and is headquartered in Xinyu, Jiangxi. It is the largest lithium salt producer in China and the third largest in the world, as well as the second largest lithium processor in the world. It is traded on both the Shenzhen Stock Exchange and the Hong Kong Stock Exchange and has a market capitalization of US$26 billion.",29.52M,Ganfeng Lithium Group Co Ltd,¥42.33,¥41.84,"Nov 24, 4:29:45 PM GMT+8 · CNY · SHE ·",¥41.45 - ¥83.52
"¥5,212.00 - ¥5,289.00","Shin-Etsu Chemical Co., Ltd. is the largest chemical company in Japan, ranked No. 9 in Forbes Global 2000 for chemical sector. Shin-Etsu has the largest global market share for polyvinyl chloride, semiconductor silicon, and photomask substrates. The company was named one of Thomson Reuters Top 100 Global Innovators in 2011, 2012, 2013 and 2014. “Shin-Etsu” in the company's name derives from Shin'etsu Region, where the company established the first chemical plant as Shin-Etsu Nitrogen Fertilizer in 1926, though the company today is headquartered in Tokyo and has its manufacturing locations in 14 countries worldwide.",17.09,Shin-Etsu Chemical Co Ltd,"¥5,191.00","¥5,224.00","Nov 24, 5:45:13 PM GMT+9 · JPY · TYO ·","¥3,158.00 - ¥5,289.00"
$17.52 - $17.79,"Myriad Genetics, Inc. is an American genetic testing and precision medicine company based in Salt Lake City, Utah, United States. Myriad employs a number of proprietary technologies that permit doctors and patients to understand the genetic basis of human disease and the role that genes play in the onset, progression and treatment of disease. This information is used to guide the development of new products that assess an individual's risk for developing disease later in life, identify a patient's likelihood of responding to a particular drug therapy, assess a patient's risk of disease progression and disease recurrence, and measure disease activity.",684.38K,"Myriad Genetics, Inc.",$17.70,$17.72,"Nov 24, 9:49:12 AM GMT-5 · USD · NASDAQ ·",$13.82 - $24.21
"₹1,832.20 - ₹1,864.45","Godrej Properties Limited is a real estate company with its head office in Mumbai, India. A subsidiary of Godrej Industries Ltd, the company was established in 1990 under the leadership of Adi Godrej. The company is currently developing projects that are estimated to cover more than 89.7 million square feet. Currently, Godrej Properties Limited is listed on the Bombay Stock Exchange and the National Stock Exchange. It operates in Chandigarh, Gurgaon, Ahmedabad, Kolkata, Nagpur, Mumbai, Pune, Hyderabad, Mangalore, Noida, Bengaluru, Chennai and Kochi.",76.88,Godrej Properties Ltd,"₹1,852.35","₹1,838.00","Nov 24, 3:59:09 PM GMT+5:30 · INR · NSE ·","₹1,005.00 - ₹1,914.55"
$4.27 - $4.27,"Urban One, Inc. is a Silver Spring, Maryland-based American media conglomerate. Founded in 1980 by Cathy Hughes, the company primarily operates media properties targeting African Americans. It is the largest African-American-owned broadcasting company in the United States, operating 55 radio stations and majority-owning the syndicator Reach Media, as well as its digital arm Interactive One, and the cable network TV One. As of 2014, it was the ninth-highest-earning African-American-owned business in the United States.",32.76K,Urban One Inc Class D,$4.13,$4.27,"Nov 24, 9:46:54 AM GMT-5 · USD · NASDAQ ·",$3.39 - $6.34
$196.40 - $198.31,"American Tower Corporation is an American real estate investment trust which owns and operates wireless and broadcast communications infrastructure in several countries. It is headquartered in Boston, Massachusetts, US. It is ranked 375th on the Fortune 500 in 2022. As of December 31, 2021, the company owned 199,330 communications sites, including 27,494 sites in the U.S. and Canada, 74,813 sites in Asia, 29,722 sites in Europe, 21,455 in Africa, and 45,816 sites in Latin America.",2.36M,American Tower Corp,$198.79,$197.63,"Nov 24, 9:49:01 AM GMT-5 · USD · NYSE ·",$154.58 - $235.57
$171.12 - $172.82,"Waste Management, Inc., doing business as “WM”, is a waste management, comprehensive waste, and environmental services company operating in North America. Founded in 1968, the company is headquartered in the Bank of America Tower in Houston, Texas. The company's network includes 346 transfer stations, 293 active landfill disposal sites, 146 recycling plants, 111 beneficial-use landfill gas projects and six independent power production plants. Waste Management provide environmental services to nearly 21 million residential, industrial, municipal and commercial customers in the United States, Canada, and Puerto Rico. With 26,000 collection and transfer vehicles, the company has the largest trucking fleet in the waste industry. Combined with its largest competitor Republic Services, Inc, the two handle more than half of all garbage collection in the United States.",1.66M,"Waste Management, Inc.",$171.78,$171.54,"Nov 24, 9:49:18 AM GMT-5 · USD · NYSE ·",$148.31 - $173.71
$2.89 - $3.15,"Kingstone Companies, Inc., headquartered in Kingston, New York, provides property and casualty insurance products through its subsidiary, Kingstone Insurance Company. It places contracts with the third-party licensed premium finance company through its subsidiary Payments, Inc, a NYS licensed Insurance Premium Finance Company. Kingstone Insurance Company was ranked #1 of the 81 insurers rated by the Professional Insurance Agents Association in its 2010 Company Performance Survey. The company sells insurance products include personal lines of insurance products, general liability policies commercial automobile policies and so on through independent retail and wholesale agents and brokers.",18.66K,Kingstone Companies Inc,$3.00,$3.00,"Nov 24, 9:32:06 AM GMT-5 · USD · NASDAQ ·",$0.86 - $3.39
$547.52 - $552.26,"Cintas Corporation is an American corporation headquartered in Mason, Ohio which provides a range of products and services to businesses including uniforms, mats, mops, cleaning and restroom supplies, first aid and safety products, fire extinguishers and testing, and safety courses. Cintas is a publicly held company traded on the Nasdaq Global Select Market under the symbol CTAS and is a component of the Standard & Poor's 500 Index. The company is one of the largest in the industry with 44,500 employees in 2023. In 2020, the company reported $7.09 billion in total revenue.",350.32K,Cintas Corporation,$554.82,$551.45,"Nov 24, 9:49:27 AM GMT-5 · USD · NASDAQ ·",$423.06 - $559.01
$23.50 - $23.90,"Peabody Energy is a coal mining company headquartered in St. Louis, Missouri. Its primary business consists of the mining, sale, and distribution of coal, which is purchased for use in electricity generation and steelmaking. Peabody also markets, brokers, and trades coal through offices in China, Australia, and the United States. In 2022, Peabody recorded sales of 124 million tons of coal. Peabody markets coal to electricity generating and industrial customers in more than 26 nations. As of December 31, 2022, the company had approximately 2.4 billion tons of proven and probable coal reserves. Peabody maintains ownership or majority interests in 17 surface and underground mining operations located throughout the United States and Australia. In the United States, company-owned mines are located in Alabama, Colorado, Illinois, Indiana, New Mexico, and Wyoming. Peabody's largest operation is the North Antelope Rochelle Mine located in Campbell County, Wyoming, which mined more than 60 million tons of coal in 2022. Peabody spun off coal mining operations in West Virginia and Kentucky into Patriot Coal Corporation in October 2007.",2.70M,Peabody Energy Corp,$23.59,$23.86,"Nov 24, 9:49:03 AM GMT-5 · USD · NYSE ·",$17.71 - $32.89
$3.66 - $3.74,"Guangzhou Automobile Group Co., Ltd. is a Chinese state-owned automobile manufacturer headquartered in Guangzhou, Guangdong. Founded in 1954, it is currently the fifth largest automobile manufacturer in China, with 2.144 million sales in 2021. The company produces and sells vehicles under its own branding, such as Trumpchi, Aion, Hycan as well as under foreign-branded joint ventures such as GAC-Toyota, GAC-Honda, and GAC-Mitsubishi. It also produces electric vehicles under some of the previously listed brandings, including dedicated EV brands such as Aion and Hycan. It produces buses under the GAC Bus brand. Other brand names associated with GAC are Everus, for consumer vehicles, and Hino. In 2021, it was the fourth largest Chinese plug-in electric vehicle manufacturer in the Chinese market, with 4% of market share. It sold 123,660 units of EVs in 2021, and over 20,000 units in March 2022, with plans to double EV production capacity to 400,000 a year by December 2022.",11.48M,Guangzhou Automobile Group Co Ltd,$3.73,$3.69,"Nov 24, 4:08:38 PM GMT+8 · HKD · HKG ·",$3.57 - $5.98
$1.30 - $1.33,"LightInTheBox Holding Co., Ltd. is an apparel e-commerce retailer that ships worldwide. LightInTheBox operates its business through mobile applications and multiple websites. The company is headquartered in Singapore and has additional offices in California, Shanghai, and Beijing.",56.20K,Lightinthebox Holding Co Ltd,$1.30,$1.30,"Nov 24, 9:46:58 AM GMT-5 · USD · NYSE ·",$0.97 - $1.88
GBX 170.86 - GBX 175.40,"Senior plc is the holding company for a global group of firms in the manufacturing and engineering industries, headquartered in Rickmansworth, England. The Company is listed on the London Stock Exchange and is a constituent of the FTSE 250 Index.",358.63K,Senior plc,GBX 171.00,GBX 171.40,"Nov 24, 2:36:50 PM UTC · GBX · LON ·",GBX 115.40 - GBX 184.00
